bare_action	qualified	source
AddTrackBus	Main/AddTrackBus	keys+menus
Archive		menus
Cleanup		menus
CleanupPeakFiles		menus
CleanupUnusedRegions		menus
CleanupUnusedSources		menus
Close		menus
CloseVideo		menus
Edit		menus
EditMetadata		menus
EditorEditing/cycle-snap-mode		menus
EditorEditing/editor-copy		menus
EditorEditing/editor-cut		menus
EditorEditing/editor-delete		menus
EditorEditing/editor-paste		menus
EditorEditing/next-grid-choice		menus
EditorEditing/prev-grid-choice		menus
EditorEditing/redo		menus
EditorEditing/toggle-follow-playhead		menus
EditorEditing/toggle-stationary-playhead		menus
EditorEditing/undo		menus
EditorMenu		menus
EditorSnap/grid-type-asixteenthbeat		menus
EditorSnap/grid-type-bar		menus
EditorSnap/grid-type-beat		menus
EditorSnap/grid-type-cdframe		menus
EditorSnap/grid-type-eighths		menus
EditorSnap/grid-type-fifths		menus
EditorSnap/grid-type-fourteenths		menus
EditorSnap/grid-type-halves		menus
EditorSnap/grid-type-minsec		menus
EditorSnap/grid-type-none		menus
EditorSnap/grid-type-quarters		menus
EditorSnap/grid-type-sevenths		menus
EditorSnap/grid-type-sixths		menus
EditorSnap/grid-type-tenths		menus
EditorSnap/grid-type-thirds		menus
EditorSnap/grid-type-thirtyseconds		menus
EditorSnap/grid-type-timecode		menus
EditorSnap/grid-type-twelfths		menus
EditorSnap/grid-type-twentieths		menus
EditorSnap/grid-type-twentyeighths		menus
EditorSnap/grid-type-twentyfourths		menus
EditorZoom/cycle-zoom-focus		menus
EditorZoom/zoom-focus-center		menus
EditorZoom/zoom-focus-edit		menus
EditorZoom/zoom-focus-left		menus
EditorZoom/zoom-focus-mouse		menus
EditorZoom/zoom-focus-playhead		menus
EditorZoom/zoom-focus-right		menus
Escape	Main/Escape	keys
Export		menus
ExportAudio	Main/ExportAudio	keys+menus
ExportStrips		menus
ExportVideo		menus
FlushWastebasket		menus
Forward	Transport/Forward	keys+menus
GlobalQuantize		menus
GotoEnd	Transport/GotoEnd	keys+menus
GotoStart	Transport/GotoStart	keys+menus
GotoWallClock		menus
GotoZero		menus
GridChoice		menus
GridChoiceQuintuplets		menus
GridChoiceSeptuplets		menus
GridChoiceTriplets		menus
Help		menus
ImportMetadata		menus
ImportStrips		menus
Loop	Transport/Loop	keys+menus
LoudnessAssistant		menus
MainMenu		menus
ManageTemplates		menus
Metadata		menus
MixerMenu		menus
MonitorMenu		menus
New	Main/New	keys+menus
NewMIDITracer		menus
Open	Main/Open	keys+menus
OpenVideo		menus
PlayPreroll		menus
PlaySelection	Transport/PlaySelection	keys+menus
PopupRegionMenu		menus
PrefsMenu		menus
QuickExport	Main/QuickExport	keys+menus
Quit	Common/Quit	keys+menus
Recent	Main/Recent	keys+menus
Record	Transport/Record	keys+menus
RecordCountIn	Transport/RecordCountIn	keys+menus
RecordPreroll	Transport/RecordPreroll	keys+menus
RecorderMenu		menus
RegionMenu		menus
RegionMenuDuplicate		menus
RegionMenuEdit		menus
RegionMenuFades		menus
RegionMenuGain		menus
RegionMenuLayering		menus
RegionMenuMIDI		menus
RegionMenuMarkers		menus
RegionMenuPosition		menus
RegionMenuRanges		menus
RegionMenuTrim		menus
Rename		menus
Rewind	Transport/Rewind	keys+menus
Save	Common/Save	keys+menus
SaveAs		menus
SaveTemplate		menus
Session		menus
SetShuttleUnitsPercentage		menus
SetShuttleUnitsSemitones		menus
SnapshotStay	Main/SnapshotStay	keys+menus
SnapshotSwitch		menus
StemExport	Main/StemExport	keys+menus
ToggleAutoInput		menus
ToggleAutoPlay	Transport/ToggleAutoPlay	keys+menus
ToggleAutoReturn	Transport/ToggleAutoReturn	keys+menus
ToggleClick	Transport/ToggleClick	keys+menus
ToggleExternalSync	Transport/ToggleExternalSync	keys+menus
ToggleFoldbackStrip	Mixer/ToggleFoldbackStrip	keys+menus
ToggleFollowEdits	Transport/ToggleFollowEdits	keys+menus
ToggleGroupTabs		menus
ToggleJadeo	Editor/ToggleJadeo	keys+menus
ToggleMaximalEditor	Common/ToggleMaximalEditor	keys+menus
ToggleMaximalMixer	Common/ToggleMaximalMixer	keys+menus
ToggleMixerList	Mixer/ToggleMixerList	keys+menus
ToggleMonitorSection	Mixer/ToggleMonitorSection	keys+menus
TogglePunch	Transport/TogglePunch	keys+menus
TogglePunchIn		menus
TogglePunchOut		menus
ToggleRoll	Transport/ToggleRoll	keys+menus
ToggleRollForgetCapture	Transport/ToggleRollForgetCapture	keys+menus
ToggleRollMaybe	Transport/ToggleRollMaybe	keys+menus
ToggleSummary	Editor/ToggleSummary	keys+menus
ToggleTimeMaster		menus
ToggleTriggerList	Cues/ToggleTriggerList	keys+menus
ToggleTriggerProps	Cues/ToggleTriggerProps	keys+menus
ToggleVCAPane	Mixer/ToggleVCAPane	keys+menus
ToggleVerticalSummary	Editor/ToggleVerticalSummary	keys+menus
TrackHeightMenu		menus
TrackMenu		menus
TrackPlaylistMenu		menus
TransitionToReverse	Transport/TransitionToReverse	keys+menus
TransitionToRoll	Transport/TransitionToRoll	keys+menus
Transport		menus
TriggerMenu		menus
UseMonitorSection		menus
ZoomFocus		menus
ab-plugins	Mixer/ab-plugins	keys
ab_plugins		menus
activate_all		menus
add-interval-M2	Notes/add-interval-M2	keys
add-interval-M3	Notes/add-interval-M3	keys
add-interval-M7	Notes/add-interval-M7	keys
add-interval-P4	Notes/add-interval-P4	keys
add-interval-P5	Notes/add-interval-P5	keys
add-interval-P8	Notes/add-interval-P8	keys
add-interval-m2	Notes/add-interval-m2	keys
add-interval-m3	Notes/add-interval-m3	keys
add-interval-m7	Notes/add-interval-m7	keys
add-location-from-playhead	Common/add-location-from-playhead	keys+menus
add-range-marker-from-region		menus
add-range-marker-from-selection	Editor/add-range-marker-from-selection	keys+menus
add-range-markers-from-region		menus
add-region-cue-marker	Region/add-region-cue-marker	keys+menus
add-select-next	Notes/add-select-next	keys
add-select-previous	Notes/add-select-previous	keys
addExistingAudioFiles	Common/addExistingAudioFiles	keys+menus
addExistingPTFiles		menus
