context	key	action
Editing	equal	Editing/temporal-zoom-in
Editing	minus	Editing/temporal-zoom-out
Editing	e	Editing/set-mouse-mode-content
Editing	r	Editing/set-mouse-mode-range
Editing	Primary-r	Editing/redo
Editing	t	Editing/set-mouse-mode-timefx
Editing	y	Editing/set-mouse-mode-grid
Editing	Primary-y	Editing/alternate-redo
Editing	d	Editing/set-mouse-mode-draw
Editing	g	Editing/set-mouse-mode-object
Editing	Primary-z	Editing/undo
Editing	Primary-Tertiary-z	Editing/alternate-alternate-redo
Editing	Primary-x	Editing/editor-cut
Editing	c	Editing/set-mouse-mode-cut
Editing	Primary-c	Editing/editor-copy
Editing	Primary-v	Editing/editor-paste
Editing	Delete	Editing/editor-delete
Editing	BackSpace	Editing/alternate-editor-delete
Editing	4	Editing/cycle-snap-mode
Editing	5	Editing/prev-grid-choice
Editing	6	Editing/next-grid-choice
Editor	Secondary-equal	Editor/expand-tracks
Editor	Secondary-minus	Editor/shrink-tracks
Editor	Primary-Tertiary-underscore	Editor/zoom-to-session
Editor	apostrophe	Editor/edit-cursor-to-previous-region-sync
Editor	semicolon	Editor/edit-cursor-to-next-region-sync
Editor	Primary-Tertiary-space	Editor/play-from-edit-point-and-return
Editor	slash	Editor/editor-fade-range
Editor	Primary-slash	Region/set-fade-in-length
Editor	Primary-backslash	Region/set-fade-out-length
Editor	Primary-j	Region/trim-to-previous-region
Editor	Primary-k	Region/trim-to-next-region
Editor	bracketright	Editor/set-loop-from-edit-range
Editor	bracketleft	Editor/set-punch-from-edit-range
Editor	Secondary-1	Region/toggle-region-mute
Editor	Secondary-2	Region/naturalize-region
Editor	Secondary-3	Region/normalize-region
Editor	Secondary-4	Region/reverse-region
Editor	Secondary-5	Region/quantize-region
Editor	Secondary-6	Region/boost-region-gain
Editor	Secondary-7	Region/cut-region-gain
Editor	Secondary-8	Region/pitch-shift-region
Editor	Secondary-9	Region/rename-region
Editor	Secondary-0	Region/toggle-opaque-region
Editor	Primary-Secondary-e	Region/export-region
Editor	Primary-Tertiary-e	Editor/select-all-after-edit-cursor
Editor	Tertiary-e	Editor/show-editor-mixer
Editor	Primary-Tertiary-r	Editor/select-from-regions
Editor	Secondary-Tertiary-r	Editor/add-range-marker-from-selection
Editor	Primary-u	Editor/select-all-between-cursors
Editor	u	Editor/select-all-within-cursors
Editor	Tertiary-u	Region/fork-regions-from-unselected
Editor	i	Region/insert-region-from-source-list
Editor	Secondary-i	Editor/toggle-midi-input-active
Editor	p	Editor/set-playhead
Editor	Tertiary-p	Editor/show-editor-props
Editor	Primary-a	Editor/select-all-objects
Editor	Secondary-a	Region/align-regions-end
Editor	Tertiary-a	Region/align-regions-sync
Editor	Primary-Secondary-a	Region/align-regions-start
Editor	Primary-Tertiary-a	Region/align-regions-start-relative
Editor	s	Editor/split-region
Editor	Secondary-s	Editor/track-solo-toggle
